# Time_stamp_start,Duration,Year,month,day,hour,min,second,num_of_detec_st,FG3S,FG8S,FG10S,FG11S,FG12S,FG13S,FG14S,FG16S
1546942163,2880,2019,1,8,10,9,23,2,1,0,0,0,1,0,0,0
1546945603,1150,2019,1,8,11,6,43,2,1,0,0,0,1,0,0,0
1546948153,630,2019,1,8,11,49,13,3,1,1,0,0,1,0,0,0
1546952303,1830,2019,1,8,12,58,23,3,1,1,0,0,1,0,0,0
1546958723,1030,2019,1,8,14,45,23,2,1,0,0,0,1,0,0,0
1546960353,710,2019,1,8,15,12,33,2,1,0,0,0,1,0,0,0
1546962863,2700,2019,1,8,15,54,23,2,1,0,0,0,1,0,0,0
1546966113,3120,2019,1,8,16,48,33,2,1,0,0,0,1,0,0,0
1546970323,1530,2019,1,8,17,58,43,2,1,0,0,0,1,0,0,0
1546972583,2320,2019,1,8,18,36,23,2,1,0,0,0,1,0,0,0
1546979573,980,2019,1,8,20,32,53,2,1,0,0,0,1,0,0,0
1546989593,1030,2019,1,8,23,19,53,2,1,0,0,0,1,0,0,0
1546992893,1860,2019,1,9,0,14,53,2,1,0,0,0,1,0,0,0
1547000833,1100,2019,1,9,2,27,13,2,1,0,0,0,1,0,0,0
1547008573,1200,2019,1,9,4,36,13,2,1,0,0,0,1,0,0,0
1547013093,2580,2019,1,9,5,51,33,2,1,0,0,0,1,0,0,0
1547016023,2090,2019,1,9,6,40,23,2,1,0,0,0,1,0,0,0
1547027403,1470,2019,1,9,9,50,3,2,1,0,0,0,1,0,0,0
1547031923,1970,2019,1,9,11,5,23,2,1,0,0,0,1,0,0,0
1547036883,2350,2019,1,9,12,28,3,2,1,0,0,0,1,0,0,0
1547042763,2640,2019,1,9,14,6,3,3,1,1,0,0,1,0,0,0
1547051103,1280,2019,1,9,16,25,3,3,1,1,0,0,1,0,0,0
1547053963,810,2019,1,9,17,12,43,3,1,1,0,0,1,0,0,0
1547060793,1810,2019,1,9,19,6,33,2,1,0,0,0,1,0,0,0
1547064403,3710,2019,1,9,20,6,43,3,1,1,0,0,1,0,0,0
1547069243,1860,2019,1,9,21,27,23,2,1,0,0,0,1,0,0,0
1547071773,670,2019,1,9,22,9,33,3,1,1,0,0,1,0,0,0
1547087133,4270,2019,1,10,2,25,33,2,1,0,0,0,1,0,0,0
1547098093,1460,2019,1,10,5,28,13,2,1,0,0,0,1,0,0,0
1547112953,1870,2019,1,10,9,35,53,4,1,1,1,0,1,0,0,0
1547150703,3590,2019,1,10,20,5,3,4,1,1,0,0,1,0,0,0
1547157463,2690,2019,1,10,21,57,43,3,1,1,0,0,1,0,0,0
1547161833,4610,2019,1,10,23,10,33,3,1,1,0,0,1,0,0,0
1547168363,3550,2019,1,11,0,59,23,3,1,0,0,0,1,0,0,0
1547177153,1220,2019,1,11,3,25,53,2,1,0,0,0,1,0,0,0
1547179173,710,2019,1,11,3,59,33,3,1,1,0,0,1,0,0,0
1547180293,2010,2019,1,11,4,18,13,2,1,0,0,0,1,0,0,0
1547182633,2100,2019,1,11,4,57,13,3,1,1,0,0,1,0,0,0
1547185873,2280,2019,1,11,5,51,13,3,1,1,0,0,1,0,0,0
1547189153,730,2019,1,11,6,45,53,3,1,1,0,0,1,0,0,0
1547191353,1060,2019,1,11,7,22,33,3,1,1,0,0,1,0,0,0
1547195133,2070,2019,1,11,8,25,33,6,1,1,1,0,1,1,0,0
1547205253,4070,2019,1,11,11,14,13,3,1,1,0,0,1,0,0,0
1547209693,1000,2019,1,11,12,28,13,2,1,0,0,0,1,0,0,0
1547219353,3120,2019,1,11,15,9,13,2,1,0,0,0,1,0,0,0
1547226253,1540,2019,1,11,17,4,13,2,1,0,0,0,1,0,0,0
1547228643,1860,2019,1,11,17,44,3,2,1,0,0,0,1,0,0,0
1547235123,1600,2019,1,11,19,32,3,2,1,0,0,0,1,0,0,0
1547237883,8220,2019,1,11,20,18,3,2,1,0,0,0,1,0,0,0
1547255783,2090,2019,1,12,1,16,23,2,1,0,0,0,1,0,0,0
1547282743,680,2019,1,12,8,45,43,3,1,1,0,0,1,0,0,0
1547309223,1650,2019,1,12,16,7,3,3,1,1,0,0,1,0,0,0
